,Filename,Camera Make,Camera Model,Serial Number,Date,Time,Direction,Altitude,Speed,Latitude,Longitude
0,IMG_5187.jpg,Apple,iPhone 12 mini,,2021-09-26,02:43:46,346.41,3.47,,40.7133,-74.0094
1,IMG_5178.jpg,Apple,iPhone 12 mini,,2021-09-26,00:53:21,50.05,10.23,,40.7306,-74.0001
2,IMG_9811.jpg,Apple,iPhone 8 Plus,,2021-09-03,08:32:52,,,,,
3,IMG_5673 2.jpg,Apple,iPhone XR,,2021-03-15,17:22:20,328.63,13.89,,51.4977,-0.1744
4,IMG_5179.jpg,Apple,iPhone 12 mini,,2021-09-26,00:54:54,52.46,10.23,,40.7306,-74.0001
5,IMG_5186.jpg,Apple,iPhone 12 mini,,2021-09-26,02:43:41,355.21,3.47,,40.7155,-74.0093
6,65236819477__4AB299F8-3C83-4881-8288-4C6DF68BE7EB.jpg,Apple,iPhone 8 Plus,,2021-09-03,15:23:14,,,,,
7,IMG_5190.jpg,Apple,iPhone 12 mini,,2021-09-26,03:05:52,1.14,22.15,,40.6934,-73.9907
8,IMG_9812.jpg,Apple,iPhone 8 Plus,,2021-09-03,11:30:14,,,,,
9,IMG_9813.jpg,Apple,iPhone 8 Plus,,2021-09-03,13:12:07,,,,,
10,IMG_5620.jpg,Apple,iPhone XR,,2021-02-10,18:40:27,123.05,17.94,,51.5268,-0.0814
11,IMG_5181.jpg,Apple,iPhone 12 mini,,2021-09-26,01:13:34,329.9,8.05,,40.7343,-74.0064
12,IMG_0238.jpg,Apple,iPhone 8 Plus,,2021-09-05,15:44:12,,,,,
13,IMG_5553.jpg,Apple,iPhone XR,,2021-01-06,13:14:19,164.18,18.09,0.57,51.5268,-0.0816
14,IMG_5180.jpg,Apple,iPhone 12 mini,,2021-09-26,00:55:42,51.38,10.23,,40.7306,-74.0001
15,IMG_5182.jpg,Apple,iPhone 12 mini,,2021-09-26,01:13:42,324.81,7.46,,40.7343,-74.0065
16,IMG_9828.jpg,Apple,iPhone 8 Plus,,2021-09-03,16:39:02,,,,,
17,IMG_9829.jpg,Apple,iPhone 8 Plus,,2021-09-03,16:39:04,,,,,
18,IMG_5430.jpg,Apple,iPhone XR,,2020-11-24,11:33:10,346.49,18.26,0.06,51.5268,-0.0815
19,IMG_5183.jpg,Apple,iPhone 12 mini,,2021-09-26,01:13:54,325.8,8.33,1.7,40.7343,-74.0063
20,IMG_0063.jpg,Apple,iPhone 8 Plus,,2021-09-04,20:06:34,,,,,
21,IMG_0116.jpg,Apple,iPhone 8 Plus,,2021-09-05,09:55:03,,,,,
22,IMG_0923.jpg,Apple,iPhone XR,,2020-01-31,13:53:01,240.26,2284.35,0.13,46.0124,7.7631
23,IMG_0048.jpg,Apple,iPhone 8 Plus,,2021-09-04,11:53:56,,,,,
